Omadeas Classifier Service v2 — Field Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field-level schema for the 10 classifier framework entities. Columns match the convention from ProjectOps_-_art_3_0_-_Data_Modelv2_updated.xlsx (62 cols). Use <module> as prefix placeholder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A · IDENTITY & TAXONOMY,,,,,,,,,,,,B · FIELD DEFINITION,,,,,,,,,,,,,,,C · SAMPLE DATA & EXPLANATION,,,,,,,,,,D · DESIGN & DEVELOPMENT,,,,F · SECURITY & GOVERNANCE,,,,,,,,,,,G · SEED DATA INSTRUCTIONS,,,,,,,,,H · MAP
source,phase,design_status,model_version,realm,microservice,category,sub_category,type,unique_field_ref,entity,entity_fields,data_type,length,"is_primary_key
(multiple for composite)",is_unique,is_nullable,fk_reference,check_constraints,index_name,unique_cns_1,unique_cns_2,unique_cns_3,unique_cns_4,unique_cns_5,default_value,data_limited_to,sample_data,"data from
classifier","classifier
values",composite_key,explanation,relationship_explanation,design_rationale,"calculated
(yes/no)",calculation,calculation_triggers,outstanding_design_questions,development_instructions,"example_records_configurations
at_entity_level","application_validations
(for the front end)",data_category,pii_type,obligation_mapping,lawful_bases,special_conditions,default_trust,sensitivity,masking,breach_impact,retention_policy,"requires_special
condition","microservice
(seed instructions)","entities
(policies)","entity_security
config","entity_trust_upgrade
trigger_relation","entity_verification
methods_relation","fields
(policies)","fields_policies
lawful_bases","fields_policies
special_conditions","fields_policies
organisation_specific",entity_map #
?  DEFINITION LAYER — what classifiers exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity,<module>.classifier,classifier,classifier,,,,,,,,,,,,,,,tenant-scoped,,,,,Configurable structured business labels. Platform baseline + tenant extensions. 13 native fields. Source flag distinguishes platform from tenant. applies_to_node_types scopes the classifier to specific anchor types.,,,No,,,,,,,operational,,,,,40,CONFIDENTIAL,MASK_FULL,HIGH,,,Y,Y,Y,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.id,classifier,id,UUIDv4,,Yes,Yes,No,,,,,,,,,gen_random_uuid(),tenant-scoped,cls-uuid-0001,,,,Primary key.,"Referenced as FK by classifier_value, classifier_value_policy, classifier_value_constraint (source/target), classifier_profile_member, node_classifier_assignment, node_classifier_assignment_history.","UUIDv4 PK decouples identity from code string, supporting code renames without cascading FK updates.",No,,,,"PK, NOT NULL, DEFAULT gen_random_uuid(). Never expose raw PK in API — use code field.",,Read-only. Auto-generated. Never editable.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.company_id,classifier,company_id,UUIDv4,,No,No,No,company.company.id,,idx_classifier_company,,,,,,,tenant-scoped,00000000-0000-0000-0000-000000000001 (PLATFORM) or c0mp-uuid-0001 (tenant),,,,Tenant scoping. Platform-seeded classifiers use the reserved PLATFORM_TENANT_ID; tenant-defined classifiers use the tenant's company_id.,FK to company.company.id. Platform rows use reserved UUID. Tenant rows use real tenant ID.,Single column for platform/tenant ownership. Avoids NULLable FK; the reserved platform-tenant ID acts as a real row enabling clean RLS predicates.,No,,,,FK to company.company.id. NOT NULL. Index for tenant-scoped queries. Reserved PLATFORM_TENANT_ID=00000000-0000-0000-0000-000000000001 for platform classifiers.,,System-set on record creation. Never user-editable.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.source,classifier,source,VARCHAR,20,No,No,No,,"CHECK (source IN ('platform','tenant'))",,,,,,,,tenant-scoped,platform,,,,Explicit flag distinguishing platform-seeded classifiers from tenant-defined ones. Drives UI badging and write-protection.,No FK. Application uses this field to gate edit/delete operations: tenants cannot modify rows where source='platform'.,Denormalised flag alongside company_id. Avoids round-trip to determine ownership; enables fast filtering ('show only platform classifiers').,No,,,,"NOT NULL. CHECK IN ('platform','tenant'). Future values reserved: 'industry', 'partner'.",,Read-only after creation. Set via seeding workflow or tenant CREATE.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.code,classifier,code,VARCHAR,50,No,Yes,No,,,,"UNIQUE(company_id, code)",,,,,,tenant-scoped,PRIORITY,,,,Machine-readable code. Stable identifier referenced by application logic.,No FK. Used as the natural key in seed scripts and config.,UPPER_SNAKE_CASE convention. Stable across renames of `name`. UNIQUE per tenant (platform-seeded codes use the platform-tenant company_id).,No,,,,"NOT NULL. UPPER_SNAKE_CASE. UNIQUE(company_id, code). Max 50.",,Read-only after creation. Validated against pattern ^[A-Z][A-Z0-9_]+$.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.name,classifier,name,VARCHAR,100,No,No,No,,,,,,,,,,tenant-scoped,Priority,,,,Display label. User-facing name shown in UI.,No FK. Display only.,Separate from `code` to allow renaming of display label without changing the machine code or breaking FK references.,No,,,,NOT NULL. Max 100. Editable by admins.,,Required. Max 100. Sentence case display name.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.description,classifier,description,TEXT,500,No,No,Yes,,,,,,,,,,tenant-scoped,"Node priority. Drives visual indicators, sorting, and reporting.",,,,Optional longer description shown in the classifier popup beneath the name.,No FK.,Provides context that the short name cannot. Surfaced in UI tooltips and the assignment modal.,No,,,,NULL allowed. Max 500 chars.,,Optional. Plain text.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.order,classifier,order,INTEGER,,No,No,No,,,,,,,,,100,tenant-scoped,10,,,,Sort order in the Available classifiers list.,No FK. Read by application for ORDER BY.,Manual ordering rather than alphabetical lets admins surface the most-used classifiers first.,No,,,,NOT NULL DEFAULT 100. Lower = earlier in list. Recommended steps of 10 to allow inserts.,,Integer input. Default 100.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.applies_to_node_types,classifier,applies_to_node_types,JSONB,,No,No,Yes,,,,,,,,,NULL,tenant-scoped,"[""RISK""] or [""TASK"",""STORY"",""BUG""] or NULL",,,,Array of node anchor type codes this classifier applies to. NULL or [] means the classifier applies to any node type.,Soft reference to node_anchor.code values. Not a FK array — JSONB for flexible matching.,"Avoids a separate junction table for what is typically a small list. If GIN-index performance becomes inadequate at scale, migrate to a join table.",No,,,,JSONB array of strings. NULL or empty array = applies to any. Validated against node_anchor codes at admin write time.,,Multi-select picker of anchor types. NULL/empty defaults to 'any'.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
